Data,PM25,d3_mean,weekly_mean,month_max,month_std,expanding_mean,expanding_median,nested_mean,lag1d,day_of_week,month_number,season,trend,seasonal,resid
2022-07-05,9.67025,8.666155000000002,10.416550428571428,16.546019,3.6669896992293616,12.341112983783782,9.688094,10.563439952380955,16.546019,1,7,2,8.35850487389201,0.053503395977163255,1.2582417301308269
2022-07-06,7.710786,10.819160333333334,10.227369857142858,16.546019,3.595916136248918,12.326753505376344,9.688094,10.24809119047619,9.67025,2,7,2,7.973205370203808,0.39514614151935823,-0.6575655117231669
2022-07-07,4.898555,11.309018333333334,10.281797142857142,16.546019,3.5977246928771107,12.302069187165776,9.688094,10.121960571428572,7.710786,3,7,2,7.627046182342391,-0.713261110929982,-2.015230071412409
2022-07-08,6.059693,7.426530333333335,9.138767714285715,16.546019,3.631922919227251,12.262688792553194,9.679172,10.308572476190477,4.898555,4,7,2,7.3128985784157905,0.6577851135843301,-1.9109906920001203
2022-07-09,9.652124,6.223011333333335,7.762535571428572,16.546019,3.660595103854074,12.229868708994708,9.67025,9.882644904761905,6.059693,5,7,2,7.042620120003218,2.0341425602580965,0.5753613197386853
2022-07-10,5.442927,6.8701240000000015,8.682662714285714,16.546019,3.6650794902971073,12.216301631578949,9.661187,9.061033476190477,9.652124,6,7,2,6.84536320537668,1.4981866133423505,-2.9006228187190306
2022-07-11,4.263503,7.051581333333335,8.568622,16.546019,3.5585841259666173,12.180838937172776,9.652124,8.527988666666667,5.442927,0,7,2,6.741272248641089,-0.12220172279368713,-2.3555675258474027
2022-07-12,2.884657,6.452851333333335,6.813976857142857,16.546019,3.5957580804223355,12.1396028125,9.6521155,8.337940095238096,4.263503,1,7,2,6.734383740537599,-0.5085036373726092,-3.3412231031649897
2022-07-13,5.370199,4.1970290000000015,5.844606428571429,16.546019,3.711315102691976,12.091649725388601,9.652107,8.021753857142858,2.884657,2,7,2,6.835184632946731,1.3470861375432894,-2.8120717704900207
2022-07-14,8.109726,4.172786333333335,5.510236857142857,16.546019,3.7453494717499862,12.057003072164948,9.6430355,7.0757350952380955,5.370199,3,7,2,7.060957013573371,-1.9048044754907238,2.9535734619173537
2022-07-15,4.953055,5.454860666666669,5.9689755714285715,16.546019,3.6760664678355877,12.036760625641026,9.633964,6.0562733809523825,8.109726,4,7,2,7.382144046136233,-3.2796499741679455,0.8505609280317117
2022-07-16,6.077924,6.144326666666668,5.810884428571428,16.546019,3.7301509611602013,12.000619270408164,9.5976865,5.774606285714286,4.953055,5,7,2,7.732410974918892,0.8932095030965264,-2.5476964780154177
2022-07-17,6.712919,6.380235000000002,5.300284428571429,16.546019,3.7514794813727543,11.970554827411169,9.561409,5.763365619047621,6.077924,6,7,2,8.069451604414882,-0.49172826126524144,-0.8648043431496397
2022-07-18,8.581526,5.914632666666669,5.481711857142857,16.546019,3.740280998622913,11.944001111111112,9.452414999999998,5.693381476190477,6.712919,0,7,2,8.370091108255453,-0.17901673857888872,0.39045163032343666
2022-07-19,10.522706,7.124123000000002,6.098572285714285,16.546019,3.7316304798227327,11.927104251256281,9.343421,5.53096023809524,8.581526,1,7,2,8.625197969757828,-1.2164172303127108,3.1139252605548826
2022-07-20,11.484243,8.605717,7.189722142857144,16.546019,3.5450553778447564,11.92008226,9.452414999999998,5.626856190476192,10.522706,2,7,2,8.83584200922918,0.7468847714085786,1.9015162193622395
